cpt_name,reason,description
CPT_10 , Type 07 , depth range <5: 4.22
CPT_100 , Type 06 , depth<5: 4.04
CPT_1000 , Type 06 , depth<5: 2.68
CPT_10006 , Type 06 , depth<5: 2.9
CPT_10008 , Type 05 , Repeated digit - investigating
CPT_1001 , Type 06 , depth<5: 4.72
CPT_10011 , Type 06 , depth<5: 3.01
CPT_10013 , Type 05 , Repeated digit - investigating
CPT_10014 , Type 05 , Repeated digit - investigating
CPT_1002 , Type 06 , depth<5: 2.4
CPT_10022 , Type 05 , Repeated digit - investigating
CPT_10023 , Type 06 , depth<5: 1.32
CPT_10024 , Type 06 , depth<5: 4.61
CPT_1003 , Type 06 , depth<5: 1.82
CPT_100361 , Type 06 , depth<5: 4.57
CPT_100371 , Type 06 , depth<5: 4.73
CPT_100372 , Type 06 , depth<5: 3.03
CPT_10039 , Type 05 , Repeated digit - investigating
CPT_1004 , Type 06 , depth<5: 2.94
CPT_100454 , Type 05 , Repeated digit - investigating
CPT_100457 , Type 05 , Repeated digit - investigating
CPT_100460 , Type 05 , Repeated digit - investigating
CPT_100462 , Type 05 , Repeated digit - investigating
CPT_100463 , Type 05 , Repeated digit - investigating
CPT_100464 , Type 05 , Repeated digit - investigating
CPT_100465 , Type 05 , Repeated digit - investigating
CPT_100466 , Type 05 , Repeated digit - investigating
CPT_100467 , Type 05 , Repeated digit - investigating
CPT_100468 , Type 05 , Repeated digit - investigating
CPT_100469 , Type 05 , Repeated digit - investigating
CPT_100470 , Type 05 , Repeated digit - investigating
CPT_100471 , Type 05 , Repeated digit - investigating
CPT_100472 , Type 05 , Repeated digit - investigating
CPT_100473 , Type 05 , Repeated digit - investigating
CPT_100475 , Type 05 , Repeated digit - investigating
CPT_100476 , Type 05 , Repeated digit - investigating
CPT_100477 , Type 05 , Repeated digit - investigating
CPT_100478 , Type 05 , Repeated digit - investigating
CPT_100480 , Type 05 , Repeated digit - investigating
CPT_100481 , Type 05 , Repeated digit - investigating
CPT_100482 , Type 05 , Repeated digit - investigating
CPT_100483 , Type 05 , Repeated digit - investigating
CPT_10049 , Type 06 , depth<5: 3.7
CPT_100494 , Type 05 , Repeated digit - investigating
CPT_100496 , Type 05 , Repeated digit - investigating
CPT_100517 , Type 05 , Repeated digit - investigating
CPT_100518 , Type 05 , Repeated digit - investigating
CPT_100522 , Type 05 , Repeated digit - investigating
CPT_100530 , Type 05 , Repeated digit - investigating
CPT_100534 , Type 05 , Repeated digit - investigating
CPT_100537 , Type 05 , Repeated digit - investigating
CPT_10054 , Type 06 , depth<5: 1.86
CPT_100540 , Type 05 , Repeated digit - investigating
CPT_10055 , Type 07 , depth range <5: 3.5
CPT_10058 , Type 05 , Repeated digit - investigating
CPT_1006 , Type 06 , depth<5: 1.32
CPT_100600 , Type 05 , Repeated digit - investigating
CPT_100603 , Type 05 , Repeated digit - investigating
CPT_100699 , Type 05 , Repeated digit - investigating
CPT_100709 , Type 05 , Repeated digit - investigating
CPT_100711 , Type 05 , Repeated digit - investigating
CPT_100714 , Type 05 , Repeated digit - investigating
CPT_100717 , Type 05 , Repeated digit - investigating
CPT_100719 , Type 05 , Repeated digit - investigating
CPT_100725 , Type 05 , Repeated digit - investigating
CPT_100732 , Type 05 , Repeated digit - investigating
CPT_100736 , Type 05 , Repeated digit - investigating
CPT_100737 , Type 05 , Repeated digit - investigating
CPT_100738 , Type 05 , Repeated digit - investigating
CPT_100752 , Type 05 , Repeated digit - investigating
CPT_100753 , Type 06 , depth<5: 3.04
CPT_100756 , Type 05 , Repeated digit - investigating
CPT_100758 , Type 05 , Repeated digit - investigating
CPT_1008 , Type 06 , depth<5: 2.56
CPT_10083 , Type 05 , Repeated digit - investigating
CPT_100850 , Type 06 , depth<5: 3.3
CPT_100852 , Type 05 , Repeated digit - investigating
CPT_100853 , Type 06 , depth<5: 4.76
CPT_100856 , Type 06 , depth<5: 2.58
CPT_100860 , Type 05 , Repeated digit - investigating
CPT_100890 , Type 05 , Repeated digit - investigating
CPT_100895 , Type 05 , Repeated digit - investigating
CPT_100912 , Type 05 , Repeated digit - investigating
CPT_100913 , Type 05 , Repeated digit - investigating
CPT_100929 , Type 06 , depth<5: 4.23
CPT_100933 , Type 05 , Repeated digit - investigating
CPT_1010 , Type 06 , depth<5: 1.24
CPT_10100 , Type 05 , Repeated digit - investigating
CPT_101059 , Type 05 , Repeated digit - investigating
CPT_101062 , Type 05 , Repeated digit - investigating
CPT_101063 , Type 05 , Repeated digit - investigating
CPT_101069 , Type 05 , Repeated digit - investigating
CPT_101070 , Type 05 , Repeated digit - investigating
CPT_101207 , Type 05 , Repeated digit - investigating
CPT_101208 , Type 05 , Repeated digit - investigating
CPT_101209 , Type 05 , Repeated digit - investigating
CPT_101210 , Type 05 , Repeated digit - investigating
CPT_101211 , Type 05 , Repeated digit - investigating
CPT_101212 , Type 05 , Repeated digit - investigating
CPT_101213 , Type 05 , Repeated digit - investigating
CPT_101214 , Type 05 , Repeated digit - investigating
CPT_101215 , Type 05 , Repeated digit - investigating
CPT_101216 , Type 05 , Repeated digit - investigating
CPT_101217 , Type 05 , Repeated digit - investigating
CPT_101218 , Type 05 , Repeated digit - investigating
CPT_101219 , Type 05 , Repeated digit - investigating
CPT_101225 , Type 05 , Repeated digit - investigating
CPT_10123 , Type 05 , Repeated digit - investigating
CPT_101244 , Type 05 , Repeated digit - investigating
CPT_101247 , Type 05 , Repeated digit - investigating
CPT_101252 , Type 05 , Repeated digit - investigating
CPT_101255 , Type 05 , Repeated digit - investigating
CPT_101258 , Type 05 , Repeated digit - investigating
CPT_10126 , Type 05 , Repeated digit - investigating
CPT_101262 , Type 05 , Repeated digit - investigating
CPT_101264 , Type 05 , Repeated digit - investigating
CPT_101267 , Type 05 , Repeated digit - investigating
CPT_101278 , Type 05 , Repeated digit - investigating
CPT_101286 , Type 06 , depth<5: 0.64
CPT_101290 , Type 06 , depth<5: 0.98
CPT_101297 , Type 05 , Repeated digit - investigating
CPT_10130 , Type 05 , Repeated digit - investigating
CPT_101300 , Type 05 , Repeated digit - investigating
CPT_101346 , Type 01 , No record found: CPT_101346
CPT_101347 , Type 01 , No record found: CPT_101347
CPT_101348 , Type 01 , No record found: CPT_101348
CPT_10135 , Type 05 , Repeated digit - investigating
CPT_101350 , Type 01 , No record found: CPT_101350
CPT_101352 , Type 05 , Repeated digit - investigating
CPT_101357 , Type 05 , Repeated digit - investigating
CPT_101359 , Type 05 , Repeated digit - investigating
CPT_101361 , Type 01 , No record found: CPT_101361
CPT_101362 , Type 01 , No record found: CPT_101362
CPT_101363 , Type 01 , No record found: CPT_101363
CPT_101364 , Type 01 , No record found: CPT_101364
CPT_101365 , Type 01 , No record found: CPT_101365
CPT_101366 , Type 01 , No record found: CPT_101366
CPT_101367 , Type 01 , No record found: CPT_101367
CPT_101368 , Type 01 , No record found: CPT_101368
CPT_101369 , Type 01 , No record found: CPT_101369
CPT_10137 , Type 05 , Repeated digit - investigating
CPT_101370 , Type 01 , No record found: CPT_101370
CPT_101371 , Type 01 , No record found: CPT_101371
CPT_101372 , Type 01 , No record found: CPT_101372
CPT_101373 , Type 01 , No record found: CPT_101373
CPT_101374 , Type 01 , No record found: CPT_101374
CPT_101375 , Type 01 , No record found: CPT_101375
CPT_101376 , Type 01 , No record found: CPT_101376
CPT_101377 , Type 01 , No record found: CPT_101377
CPT_101378 , Type 01 , No record found: CPT_101378
CPT_101379 , Type 01 , No record found: CPT_101379
CPT_10138 , Type 05 , Repeated digit - investigating
CPT_101380 , Type 01 , No record found: CPT_101380
CPT_101381 , Type 01 , No record found: CPT_101381
CPT_101382 , Type 01 , No record found: CPT_101382
CPT_101383 , Type 01 , No record found: CPT_101383
CPT_101384 , Type 01 , No record found: CPT_101384
CPT_101385 , Type 01 , No record found: CPT_101385
CPT_101386 , Type 01 , No record found: CPT_101386
CPT_101387 , Type 01 , No record found: CPT_101387
CPT_101388 , Type 01 , No record found: CPT_101388
CPT_101389 , Type 01 , No record found: CPT_101389
CPT_101390 , Type 01 , No record found: CPT_101390
CPT_101391 , Type 01 , No record found: CPT_101391
CPT_101392 , Type 01 , No record found: CPT_101392
CPT_101393 , Type 01 , No record found: CPT_101393
CPT_101394 , Type 01 , No record found: CPT_101394
CPT_101395 , Type 01 , No record found: CPT_101395
CPT_101396 , Type 01 , No record found: CPT_101396
CPT_101397 , Type 01 , No record found: CPT_101397
CPT_101398 , Type 01 , No record found: CPT_101398
CPT_101399 , Type 01 , No record found: CPT_101399
CPT_1014 , Type 06 , depth<5: 4.2
CPT_101400 , Type 01 , No record found: CPT_101400
CPT_101401 , Type 01 , No record found: CPT_101401
CPT_101402 , Type 01 , No record found: CPT_101402
CPT_101403 , Type 01 , No record found: CPT_101403
CPT_101404 , Type 01 , No record found: CPT_101404
CPT_101405 , Type 01 , No record found: CPT_101405
CPT_101406 , Type 01 , No record found: CPT_101406
CPT_101407 , Type 01 , No record found: CPT_101407
CPT_101408 , Type 01 , No record found: CPT_101408
CPT_101409 , Type 01 , No record found: CPT_101409
CPT_101410 , Type 01 , No record found: CPT_101410
CPT_101411 , Type 01 , No record found: CPT_101411
CPT_101412 , Type 01 , No record found: CPT_101412
CPT_101413 , Type 01 , No record found: CPT_101413
CPT_101414 , Type 01 , No record found: CPT_101414
CPT_101415 , Type 01 , No record found: CPT_101415
CPT_101416 , Type 01 , No record found: CPT_101416
CPT_101417 , Type 01 , No record found: CPT_101417
CPT_101418 , Type 01 , No record found: CPT_101418
CPT_101419 , Type 01 , No record found: CPT_101419
CPT_101420 , Type 01 , No record found: CPT_101420
CPT_101421 , Type 01 , No record found: CPT_101421
CPT_101422 , Type 01 , No record found: CPT_101422
CPT_101423 , Type 01 , No record found: CPT_101423
CPT_101424 , Type 01 , No record found: CPT_101424
CPT_101425 , Type 01 , No record found: CPT_101425
CPT_101426 , Type 01 , No record found: CPT_101426
CPT_101427 , Type 01 , No record found: CPT_101427
CPT_101428 , Type 01 , No record found: CPT_101428
CPT_101429 , Type 01 , No record found: CPT_101429
CPT_101430 , Type 01 , No record found: CPT_101430
CPT_101431 , Type 01 , No record found: CPT_101431
CPT_101432 , Type 01 , No record found: CPT_101432
CPT_101433 , Type 01 , No record found: CPT_101433
CPT_101434 , Type 01 , No record found: CPT_101434
CPT_101435 , Type 01 , No record found: CPT_101435
CPT_101436 , Type 01 , No record found: CPT_101436
CPT_101437 , Type 01 , No record found: CPT_101437
CPT_101438 , Type 01 , No record found: CPT_101438
CPT_101439 , Type 01 , No record found: CPT_101439
CPT_101440 , Type 01 , No record found: CPT_101440
CPT_101441 , Type 01 , No record found: CPT_101441
CPT_101442 , Type 01 , No record found: CPT_101442
CPT_101443 , Type 01 , No record found: CPT_101443
CPT_101444 , Type 01 , No record found: CPT_101444
CPT_101445 , Type 01 , No record found: CPT_101445
CPT_101446 , Type 01 , No record found: CPT_101446
CPT_101447 , Type 01 , No record found: CPT_101447
CPT_101448 , Type 01 , No record found: CPT_101448
CPT_101449 , Type 01 , No record found: CPT_101449
CPT_101450 , Type 01 , No record found: CPT_101450
CPT_101451 , Type 01 , No record found: CPT_101451
CPT_101452 , Type 01 , No record found: CPT_101452
CPT_101453 , Type 01 , No record found: CPT_101453
CPT_101454 , Type 01 , No record found: CPT_101454
CPT_101455 , Type 01 , No record found: CPT_101455
CPT_101456 , Type 01 , No record found: CPT_101456
CPT_101457 , Type 01 , No record found: CPT_101457
CPT_101458 , Type 01 , No record found: CPT_101458
CPT_101459 , Type 01 , No record found: CPT_101459
CPT_101460 , Type 01 , No record found: CPT_101460
CPT_101461 , Type 01 , No record found: CPT_101461
CPT_101462 , Type 01 , No record found: CPT_101462
CPT_101463 , Type 01 , No record found: CPT_101463
CPT_101464 , Type 01 , No record found: CPT_101464
CPT_101465 , Type 01 , No record found: CPT_101465
CPT_101466 , Type 01 , No record found: CPT_101466
CPT_101467 , Type 01 , No record found: CPT_101467
CPT_101468 , Type 01 , No record found: CPT_101468
CPT_101469 , Type 01 , No record found: CPT_101469
CPT_10147 , Type 06 , depth<5: 3.39
CPT_101470 , Type 01 , No record found: CPT_101470
CPT_101471 , Type 01 , No record found: CPT_101471
CPT_101472 , Type 01 , No record found: CPT_101472
CPT_101473 , Type 01 , No record found: CPT_101473
CPT_101474 , Type 01 , No record found: CPT_101474
CPT_101475 , Type 01 , No record found: CPT_101475
CPT_101476 , Type 01 , No record found: CPT_101476
CPT_101477 , Type 01 , No record found: CPT_101477
CPT_101478 , Type 01 , No record found: CPT_101478
CPT_101479 , Type 01 , No record found: CPT_101479
CPT_101480 , Type 01 , No record found: CPT_101480
CPT_101481 , Type 01 , No record found: CPT_101481
CPT_101482 , Type 01 , No record found: CPT_101482
CPT_101483 , Type 01 , No record found: CPT_101483
CPT_101484 , Type 01 , No record found: CPT_101484
CPT_101485 , Type 01 , No record found: CPT_101485
CPT_101486 , Type 01 , No record found: CPT_101486
CPT_101487 , Type 01 , No record found: CPT_101487
CPT_101488 , Type 01 , No record found: CPT_101488
CPT_101489 , Type 01 , No record found: CPT_101489
CPT_101490 , Type 01 , No record found: CPT_101490
CPT_101491 , Type 01 , No record found: CPT_101491
CPT_101492 , Type 01 , No record found: CPT_101492
CPT_101493 , Type 01 , No record found: CPT_101493
CPT_101494 , Type 01 , No record found: CPT_101494
CPT_101495 , Type 01 , No record found: CPT_101495
CPT_101496 , Type 01 , No record found: CPT_101496
CPT_101497 , Type 01 , No record found: CPT_101497
CPT_101498 , Type 01 , No record found: CPT_101498
CPT_101499 , Type 01 , No record found: CPT_101499
CPT_1015 , Type 06 , depth<5: 4.25
CPT_101500 , Type 01 , No record found: CPT_101500
CPT_101501 , Type 01 , No record found: CPT_101501
CPT_101502 , Type 01 , No record found: CPT_101502
CPT_101503 , Type 01 , No record found: CPT_101503
CPT_101504 , Type 01 , No record found: CPT_101504
CPT_101505 , Type 01 , No record found: CPT_101505
CPT_101506 , Type 01 , No record found: CPT_101506
CPT_101507 , Type 01 , No record found: CPT_101507
CPT_101508 , Type 01 , No record found: CPT_101508
CPT_101509 , Type 01 , No record found: CPT_101509
CPT_10151 , Type 06 , depth<5: 3.31
CPT_101510 , Type 01 , No record found: CPT_101510
CPT_101511 , Type 01 , No record found: CPT_101511
CPT_101512 , Type 01 , No record found: CPT_101512
CPT_101513 , Type 01 , No record found: CPT_101513
CPT_101514 , Type 01 , No record found: CPT_101514
CPT_101515 , Type 01 , No record found: CPT_101515
CPT_101516 , Type 01 , No record found: CPT_101516
CPT_101517 , Type 01 , No record found: CPT_101517
CPT_101518 , Type 01 , No record found: CPT_101518
CPT_101519 , Type 01 , No record found: CPT_101519
CPT_10152 , Type 06 , depth<5: 4.47
CPT_101520 , Type 01 , No record found: CPT_101520
CPT_101521 , Type 01 , No record found: CPT_101521
CPT_101522 , Type 01 , No record found: CPT_101522
CPT_101523 , Type 01 , No record found: CPT_101523
CPT_101524 , Type 01 , No record found: CPT_101524
CPT_101525 , Type 01 , No record found: CPT_101525
CPT_101526 , Type 01 , No record found: CPT_101526
CPT_101527 , Type 01 , No record found: CPT_101527
CPT_101528 , Type 01 , No record found: CPT_101528
CPT_101529 , Type 01 , No record found: CPT_101529
CPT_101530 , Type 01 , No record found: CPT_101530
CPT_101531 , Type 01 , No record found: CPT_101531
CPT_101532 , Type 01 , No record found: CPT_101532
CPT_101533 , Type 01 , No record found: CPT_101533
CPT_101534 , Type 01 , No record found: CPT_101534
CPT_101535 , Type 01 , No record found: CPT_101535
CPT_101536 , Type 01 , No record found: CPT_101536
CPT_101537 , Type 01 , No record found: CPT_101537
CPT_101538 , Type 01 , No record found: CPT_101538
CPT_101539 , Type 01 , No record found: CPT_101539
CPT_101540 , Type 01 , No record found: CPT_101540
CPT_101541 , Type 01 , No record found: CPT_101541
CPT_101542 , Type 01 , No record found: CPT_101542
CPT_101543 , Type 01 , No record found: CPT_101543
CPT_101544 , Type 01 , No record found: CPT_101544
CPT_101545 , Type 01 , No record found: CPT_101545
CPT_101546 , Type 01 , No record found: CPT_101546
CPT_101547 , Type 01 , No record found: CPT_101547
CPT_101548 , Type 01 , No record found: CPT_101548
CPT_101549 , Type 01 , No record found: CPT_101549
CPT_101550 , Type 01 , No record found: CPT_101550
CPT_101551 , Type 01 , No record found: CPT_101551
CPT_101552 , Type 01 , No record found: CPT_101552
CPT_101553 , Type 01 , No record found: CPT_101553
CPT_101554 , Type 01 , No record found: CPT_101554
CPT_101555 , Type 01 , No record found: CPT_101555
CPT_101556 , Type 01 , No record found: CPT_101556
CPT_101557 , Type 01 , No record found: CPT_101557
CPT_101558 , Type 01 , No record found: CPT_101558
CPT_101560 , Type 05 , Repeated digit - investigating
CPT_101566 , Type 01 , No record found: CPT_101566
CPT_101567 , Type 01 , No record found: CPT_101567
CPT_101568 , Type 01 , No record found: CPT_101568
CPT_1016 , Type 06 , depth<5: 4.08
CPT_10162 , Type 05 , Repeated digit - investigating
CPT_10169 , Type 05 , Repeated digit - investigating
CPT_10180 , Type 05 , Repeated digit - investigating
CPT_1020 , Type 07 , depth range <5: 4.739999999999999
CPT_10217 , Type 05 , Repeated digit - investigating
CPT_102198 , Type 01 , No record found: CPT_102198
CPT_10221 , Type 06 , depth<5: 4.65
CPT_102216 , Type 05 , Repeated digit - investigating
CPT_102218 , Type 05 , Repeated digit - investigating
CPT_102229 , Type 05 , Repeated digit - investigating
CPT_102254 , Type 06 , depth<5: 4.5
CPT_102255 , Type 06 , depth<5: 4.56
CPT_10226 , Type 06 , depth<5: 3.41
CPT_102330 , Type 05 , Repeated digit - investigating
CPT_102346 , Type 05 , Repeated digit - investigating
CPT_102352 , Type 05 , Repeated digit - investigating
CPT_102355 , Type 05 , Repeated digit - investigating
CPT_102357 , Type 07 , depth range <5: 4.84
CPT_102374 , Type 05 , Repeated digit - investigating
CPT_102375 , Type 05 , Repeated digit - investigating
CPT_102394 , Type 06 , depth<5: 3.29
CPT_1024 , Type 06 , depth<5: 3.32
CPT_102402 , Type 05 , Repeated digit - investigating
CPT_102404 , Type 05 , Repeated digit - investigating
CPT_102407 , Type 05 , Repeated digit - investigating
CPT_10241 , Type 06 , depth<5: 2.01
CPT_102418 , Type 05 , Repeated digit - investigating
CPT_102429 , Type 05 , Repeated digit - investigating
CPT_10243 , Type 06 , depth<5: 1.79
CPT_102430 , Type 02 ,Duplicate location
CPT_102480 , Type 05 , Repeated digit - investigating
CPT_102481 , Type 05 , Repeated digit - investigating
CPT_102483 , Type 05 , Repeated digit - investigating
CPT_102488 , Type 05 , Repeated digit - investigating
CPT_1025 , Type 02 ,Duplicate location
CPT_102503 , Type 06 , depth<5: 3.27
CPT_102508 , Type 05 , Repeated digit - investigating
CPT_102510 , Type 05 , Repeated digit - investigating
CPT_102511 , Type 05 , Repeated digit - investigating
CPT_102514 , Type 05 , Repeated digit - investigating
CPT_102516 , Type 05 , Repeated digit - investigating
CPT_102521 , Type 05 , Repeated digit - investigating
CPT_102523 , Type 05 , Repeated digit - investigating
CPT_102524 , Type 05 , Repeated digit - investigating
CPT_102525 , Type 05 , Repeated digit - investigating
CPT_102526 , Type 02 ,Duplicate location
CPT_102528 , Type 05 , Repeated digit - investigating
CPT_102529 , Type 05 , Repeated digit - investigating
CPT_102531 , Type 05 , Repeated digit - investigating
CPT_102543 , Type 05 , Repeated digit - investigating
CPT_102559 , Type 05 , Repeated digit - investigating
CPT_102561 , Type 05 , Repeated digit - investigating
CPT_102567 , Type 05 , Repeated digit - investigating
CPT_102569 , Type 05 , Repeated digit - investigating
CPT_102591 , Type 05 , Repeated digit - investigating
CPT_102592 , Type 05 , Repeated digit - investigating
CPT_102593 , Type 05 , Repeated digit - investigating
CPT_102596 , Type 05 , Repeated digit - investigating
CPT_102598 , Type 05 , Repeated digit - investigating
CPT_1026 , Type 06 , depth<5: 3.67
CPT_102600 , Type 05 , Repeated digit - investigating
CPT_102606 , Type 05 , Repeated digit - investigating
CPT_102610 , Type 05 , Repeated digit - investigating
CPT_102613 , Type 05 , Repeated digit - investigating
CPT_102618 , Type 05 , Repeated digit - investigating
CPT_102619 , Type 05 , Repeated digit - investigating
CPT_102621 , Type 05 , Repeated digit - investigating
CPT_102622 , Type 06 , depth<5: 3.94
CPT_102623 , Type 05 , Repeated digit - investigating
CPT_102657 , Type 05 , Repeated digit - investigating
CPT_10268 , Type 05 , Repeated digit - investigating
CPT_1027 , Type 02 ,Duplicate location
CPT_102729 , Type 05 , Repeated digit - investigating
CPT_102760 , Type 01 , No record found: CPT_102760
CPT_102761 , Type 01 , No record found: CPT_102761
CPT_102762 , Type 01 , No record found: CPT_102762
CPT_102763 , Type 01 , No record found: CPT_102763
CPT_102764 , Type 01 , No record found: CPT_102764
CPT_102767 , Type 05 , Repeated digit - investigating
CPT_102769 , Type 05 , Repeated digit - investigating
CPT_10277 , Type 05 , Repeated digit - investigating
CPT_102787 , Type 05 , Repeated digit - investigating
CPT_102826 , Type 01 , No record found: CPT_102826
CPT_102827 , Type 01 , No record found: CPT_102827
CPT_102828 , Type 01 , No record found: CPT_102828
CPT_102830 , Type 01 , No record found: CPT_102830
CPT_102831 , Type 01 , No record found: CPT_102831
CPT_102832 , Type 01 , No record found: CPT_102832
CPT_102833 , Type 01 , No record found: CPT_102833
CPT_102834 , Type 01 , No record found: CPT_102834
CPT_102835 , Type 01 , No record found: CPT_102835
CPT_102881 , Type 05 , Repeated digit - investigating
CPT_102891 , Type 05 , Repeated digit - investigating
CPT_102906 , Type 06 , depth<5: 2.84
CPT_102908 , Type 05 , Repeated digit - investigating
CPT_10292 , Type 05 , Repeated digit - investigating
CPT_102931 , Type 05 , Repeated digit - investigating
CPT_102933 , Type 05 , Repeated digit - investigating
CPT_102934 , Type 05 , Repeated digit - investigating
CPT_102935 , Type 05 , Repeated digit - investigating
CPT_102938 , Type 05 , Repeated digit - investigating
CPT_102960 , Type 05 , Repeated digit - investigating
CPT_103027 , Type 06 , depth<5: 4.73
CPT_103029 , Type 06 , depth<5: 0.63
CPT_103044 , Type 01 , No record found: CPT_103044
CPT_103050 , Type 01 , No record found: CPT_103050
CPT_103053 , Type 01 , No record found: CPT_103053
CPT_103054 , Type 05 , Repeated digit - investigating
CPT_103055 , Type 01 , No record found: CPT_103055
CPT_103058 , Type 01 , No record found: CPT_103058
CPT_103067 , Type 01 , No record found: CPT_103067
CPT_10307 , Type 06 , depth<5: 4.32
CPT_103071 , Type 01 , No record found: CPT_103071
CPT_103079 , Type 06 , depth<5: 4.89
CPT_10308 , Type 06 , depth<5: 4.36
CPT_103082 , Type 01 , No record found: CPT_103082
